,address,zip,units,cost,year,city,state,DIST01,DIST02,DIST03,DIST04,DIST05,DIST06,DIST07,DIST08,DIST09,DIST10,DIST11,DIST12,DIST13,DIST14,DIST15,DIST16,DIST17,DIST18,DIST19,big_address,Address,LAT,LON
18,2801 WELLS BRANCH PKWY,787280000,356,,,Austin,TX,G17,N14,L50,P02,CEJ,J02,S14,,M21,E02,,A01,,,L02,B10,ALL,ACC,,"2801 WELLS BRANCH PKWY, Austin, TX, 787280000","2801 WELLS BRANCH PKWY, Austin, TX, 787280000",30.441545,-97.68975
19,360 NUECES ST,787010000,351,464308.0,2008,Austin,TX,G21,N14,L49,P03,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"360 NUECES ST, Austin, TX, 787010000","360 NUECES ST, Austin, TX, 787010000",30.267408,-97.74927
20,4600 ELMONT DR,787410000,342,,,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D21,,,,A01,,,,B05,ALL,ACC,CA3,"4600 ELMONT DR, Austin, TX, 787410000","4600 ELMONT DR, Austin, TX, 787410000",30.23747,-97.71707
21,811 SLAUGHTER LN,787480000,340,117289.51,2006,Austin,TX,G35,N25,L48,P04,C10,J03,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"811 SLAUGHTER LN, Austin, TX, 787480000","811 SLAUGHTER LN, Austin, TX, 787480000",30.173933,-97.805664
22,2021 GUADALUPE ST,787050000,335,,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2021 GUADALUPE ST, Austin, TX, 787050000","2021 GUADALUPE ST, Austin, TX, 787050000",30.282907,-97.74197
23,2624 WHITIS AVE,787050000,333,,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2624 WHITIS AVE, Austin, TX, 787050000","2624 WHITIS AVE, Austin, TX, 787050000",30.291431,-97.740105
24,1601 SLAUGHTER LN,787470000,327,203372.0,2012,Austin,TX,G21,N25,L47,P04,CEJ,J04,S01,T46,,E11,Q00,,Q04,,,B05,ALL,ACC,,"1601 SLAUGHTER LN, Austin, TX, 787470000","1601 SLAUGHTER LN, Austin, TX, 787470000",30.15696,-97.775154
25,2323 SAN ANTONIO ST,787050000,323,,,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2323 SAN ANTONIO ST, Austin, TX, 787050000","2323 SAN ANTONIO ST, Austin, TX, 787050000",30.286886,-97.74272
26,6500 CHAMPION GRANDVIEW WAY,787500000,323,,,Austin,TX,G25,N14,L47,P02,C10,J05,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"6500 CHAMPION GRANDVIEW WAY, Austin, TX, 787500000","6500 CHAMPION GRANDVIEW WAY, Austin, TX, 787500000",30.364307,-97.790794
27,10301 FM 2222 RD,787300000,322,,,Austin,TX,G25,N14,L47,P02,C10,J05,S10,,,,,A01,,,,B10,ALL,ACC,CA10,"10301 FM 2222 RD, Austin, TX, 787300000","10301 FM 2222 RD, Austin, TX, 787300000",30.3921590341,-97.8393997137
28,3014 WILLIAM CANNON DR,787450000,316,232863.974684,2000,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T47,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"3014 WILLIAM CANNON DR, Austin, TX, 787450000","3014 WILLIAM CANNON DR, Austin, TX, 787450000",30.209652,-97.821
29,8001 IH 35,787440000,314,254546.0,,Austin,TX,G35,N21,L48,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA2,"8001 IH 35, Austin, TX, 787440000","8001 IH 35, Austin, TX, 787440000",30.176922396,-97.7790486455
30,10505 IH 35,787470000,304,217047.0,,Austin,TX,G21,N25,L47,P04,C10,J04,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"10505 IH 35, Austin, TX, 787470000","10505 IH 35, Austin, TX, 787470000",30.1468859595,-97.7931404252
31,6263 MC NEIL DR,787290000,301,,,Austin,TX,G17,N14,L50,P02,C10,J02,S14,,,,,A01,,,,B10,ALL,ACC,CA6,"6263 MC NEIL DR, Austin, TX, 787290000","6263 MC NEIL DR, Austin, TX, 787290000",30.442017,-97.747154
32,12501 TECH RIDGE BLVD,787530000,299,210883.117057,2001,Austin,TX,G17,N14,L50,P02,C10,J01,S13,,,,,A01,,R02,,B10,ALL,ACC,CA7,"12501 TECH RIDGE BLVD, Austin, TX, 787530000","12501 TECH RIDGE BLVD, Austin, TX, 787530000",30.40091,-97.65827
33,1000 SAN MARCOS ST,787020000,297,,,Austin,TX,G25,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B05,ALL,ACC,CA1,"1000 SAN MARCOS ST, Austin, TX, 787020000","1000 SAN MARCOS ST, Austin, TX, 787020000",30.269274,-97.730965
34,1600 WICKERSHAM LN,787410000,296,133900.298649,1998,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D23,,,,A01,,,,B05,ALL,ACC,CA3,"1600 WICKERSHAM LN, Austin, TX, 787410000","1600 WICKERSHAM LN, Austin, TX, 787410000",30.235813,-97.71855
35,4404 OLTORF ST,787410000,296,71876.4222973,2000,Austin,TX,G21,N21,L51,P04,C10,J04,S02,D23,,,,A01,,,,B05,ALL,ACC,CA3,"4404 OLTORF ST, Austin, TX, 787410000","4404 OLTORF ST, Austin, TX, 787410000",30.227064,-97.726814
36,1801 WELLS BRANCH PKWY,787280000,294,,,Austin,TX,G17,N14,L50,P02,CEJ,J02,S13,,M21,E02,,A01,,,L02,B10,ALL,,,"1801 WELLS BRANCH PKWY, Austin, TX, 787280000","1801 WELLS BRANCH PKWY, Austin, TX, 787280000",30.435362,-97.675766
37,3401 PARMER LN,787270000,294,205843.87415,1995,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA7,"3401 PARMER LN, Austin, TX, 787270000","3401 PARMER LN, Austin, TX, 787270000",30.422873,-97.70937
38,4424 GAINES RANCH LOOP,787350000,294,246760.989796,1996,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"4424 GAINES RANCH LOOP, Austin, TX, 787350000","4424 GAINES RANCH LOOP, Austin, TX, 787350000",30.24202,-97.81592
39,1109 PLEASANT VALLEY RD,787410000,293,92610.9658703,2003,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D21,,,,A01,,,,B05,ALL,ACC,CA3,"1109 PLEASANT VALLEY RD, Austin, TX, 787410000","1109 PLEASANT VALLEY RD, Austin, TX, 787410000",30.243048,-97.71681
40,12001 DESSAU RD,787540000,293,243672.354949,2004,Austin,TX,G10,N14,L50,P01,C10,J01,S11,,,,,A01,,,,B10,ALL,ACC,CA1,"12001 DESSAU RD, Austin, TX, 787540000","12001 DESSAU RD, Austin, TX, 787540000",30.380167,-97.65319
41,4701 MONTEREY OAKS BLVD,787490000,291,339518.900344,2000,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"4701 MONTEREY OAKS BLVD, Austin, TX, 787490000","4701 MONTEREY OAKS BLVD, Austin, TX, 787490000",30.230717,-97.83741
42,900 BROKEN FEATHER TRL,786600000,290,10502.7,1993,Austin,TX,G17,N14,L46,P01,C04,J02,S13,,,E02,,,,,,B10,ALL,AC2,,"900 BROKEN FEATHER TRL, Austin, TX, 786600000","900 BROKEN FEATHER TRL, Austin, TX, 786600000",30.43653,-97.640305
43,1515 WICKERSHAM LN,787410000,287,,,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D22,,,,A01,,,,B05,ALL,ACC,CA3,"1515 WICKERSHAM LN, Austin, TX, 787410000","1515 WICKERSHAM LN, Austin, TX, 787410000",30.236343,-97.717995
44,4700 RIVERSIDE DR,787410000,283,208159.575972,1996,Austin,TX,G35,N21,L51,P04,C10,J04,S02,D22,,,,A01,,,,B05,ALL,ACC,CA3,"4700 RIVERSIDE DR, Austin, TX, 787410000","4700 RIVERSIDE DR, Austin, TX, 787410000",30.232042,-97.71873
45,6000 SHEPHERD MOUNTAIN CV,787300000,283,171203.0,1992,Austin,TX,G25,N14,L47,P02,C10,J05,S01,T44,,,,A01,,R04,,B10,ALL,ACC,CA10,"6000 SHEPHERD MOUNTAIN CV, Austin, TX, 787300000","6000 SHEPHERD MOUNTAIN CV, Austin, TX, 787300000",30.357529,-97.79627
46,8225 FM 620 RD,787260000,283,235929.328622,2000,Austin,TX,G10,N14,L48,P03,C10,J02,S10,,,,,A01,,,,B10,ALL,ACC,CA6,"8225 FM 620 RD, Austin, TX, 787260000","8225 FM 620 RD, Austin, TX, 787260000",30.4202094318,-97.845613222
47,505 22ND ST,787050000,282,290277.202837,2013,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"505 22ND ST, Austin, TX, 787050000","505 22ND ST, Austin, TX, 787050000",30.28509,-97.74302
48,10001 1ST ST,787480000,281,234822.192171,2008,Austin,TX,G35,N25,L48,P04,C10,J03,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"10001 1ST ST, Austin, TX, 787480000","10001 1ST ST, Austin, TX, 787480000",30.163113,-97.80071
49,10701 IH 35,787470000,280,281727.0,,Austin,TX,G21,N25,L47,P04,C10,J04,S01,T46,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"10701 IH 35, Austin, TX, 787470000","10701 IH 35, Austin, TX, 787470000",30.1454149781,-97.7936377522
50,1100 LAMAR BLVD,787040000,280,705621.428571,2014,Austin,TX,G21,N14,L49,P03,C10,J03,S01,T46,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"1100 LAMAR BLVD, Austin, TX, 787040000","1100 LAMAR BLVD, Austin, TX, 787040000",30.255487,-97.76183
51,2400 NUECES ST,787050000,279,338478.218638,2012,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2400 NUECES ST, Austin, TX, 787050000","2400 NUECES ST, Austin, TX, 787050000",30.28787,-97.74315
52,5400 PARMER LN,787270000,279,267455.197133,2000,Austin,TX,G17,N14,L50,P02,C10,J02,S14,,,,,A01,,,,B10,ALL,ACC,CA6,"5400 PARMER LN, Austin, TX, 787270000","5400 PARMER LN, Austin, TX, 787270000",30.434551,-97.73185
53,204 21ST ST,787050000,275,249149.0,1983,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"204 21ST ST, Austin, TX, 787050000","204 21ST ST, Austin, TX, 787050000",30.283316,-97.734985
54,1620 RIVERSIDE DR,787410000,272,332005.0,2010,Austin,TX,G35,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA9,"1620 RIVERSIDE DR, Austin, TX, 787410000","1620 RIVERSIDE DR, Austin, TX, 787410000",30.245289,-97.730705
55,5701 MOPAC EXPY,787490000,272,252715.599265,1998,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"5701 MOPAC EXPY, Austin, TX, 787490000","5701 MOPAC EXPY, Austin, TX, 787490000",30.23305,-97.82529
56,12820 LAMAR BLVD,787530000,267,255179.775281,2002,Austin,TX,G17,N14,L50,P01,C10,J02,S13,,,,,A01,,,,B10,ALL,ACC,CA7,"12820 LAMAR BLVD, Austin, TX, 787530000","12820 LAMAR BLVD, Austin, TX, 787530000",30.412605,-97.67778
57,7601 DAFFAN LN,787240000,264,105177.0,2001,Austin,TX,G35,N14,L46,P01,CEJ,J01,S11,,,E12,,,,,,B05,ALL,ACC,,"7601 DAFFAN LN, Austin, TX, 787240000","7601 DAFFAN LN, Austin, TX, 787240000",30.316763,-97.62347
58,4330 BULL CREEK RD,787310000,263,244225.642586,2009,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B05,ALL,ACC,CA10,"4330 BULL CREEK RD, Austin, TX, 787310000","4330 BULL CREEK RD, Austin, TX, 787310000",30.31742,-97.75511
59,10050 GREAT HILLS TRL,787590000,262,375958.015267,1994,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA7,"10050 GREAT HILLS TRL, Austin, TX, 787590000","10050 GREAT HILLS TRL, Austin, TX, 787590000",30.393316,-97.74294
60,1044 CAMINO LA COSTA,787520000,261,94070.9187739,1983,Austin,TX,G10,N14,L46,P01,C10,J01,S01,T41,,,,A01,,,,B10,ALL,ACC,CA4,"1044 CAMINO LA COSTA, Austin, TX, 787520000","1044 CAMINO LA COSTA, Austin, TX, 787520000",30.3248874122,-97.6998219262
61,2811 LA FRONTERA #0425-3114,787280000,260,,,Austin,TX,G17,N14,L50,P02,C20,J02,S14,,,,,,,,,B10,ALL,ACC,,"2811 LA FRONTERA #0425-3114, Austin, TX, 787280000","2811 LA FRONTERA #0425-3114, Austin, TX, 787280000",30.4776569256,-97.6853518349
62,4825 DAVIS LN,787490000,257,205441.0,2000,Austin,TX,G25,N14,L47,P03,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA8,"4825 DAVIS LN, Austin, TX, 787490000","4825 DAVIS LN, Austin, TX, 787490000",30.204311,-97.858795
63,9801 STONELAKE BLVD,787590000,256,306718.75,1996,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA7,"9801 STONELAKE BLVD, Austin, TX, 787590000","9801 STONELAKE BLVD, Austin, TX, 787590000",30.388899,-97.73885
64,11215 RESEARCH BLVD,787590000,255,228800.0,1982,Austin,TX,G17,N14,L49,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA6,"11215 RESEARCH BLVD, Austin, TX, 787590000","11215 RESEARCH BLVD, Austin, TX, 787590000",30.408695,-97.74471
65,4411 SPICEWOOD SPRINGS RD,787590000,255,,,Austin,TX,G10,N14,L48,P02,C10,J02,S01,T44,,,,A01,,,,B10,ALL,ACC,CA10,"4411 SPICEWOOD SPRINGS RD, Austin, TX, 787590000","4411 SPICEWOOD SPRINGS RD, Austin, TX, 787590000",30.372028,-97.758
66,3300 KILLINGSWORTH LN,786600000,253,31760.3,2019,Austin,TX,G10,N14,L46,P02,CEJ,J02,S13,,,E02,,A01,,,,B10,ALL,AC2,,"3300 KILLINGSWORTH LN, Austin, TX, 786600000","3300 KILLINGSWORTH LN, Austin, TX, 786600000",30.41207,-97.60584
67,1525 GRAND AVENUE PKWY,786600000,252,,,Austin,TX,G17,N14,L46,P01,CEJ,J02,S13,,,E02,,A01,,,,B10,ALL,AC2,,"1525 GRAND AVENUE PKWY, Austin, TX, 786600000","1525 GRAND AVENUE PKWY, Austin, TX, 786600000",30.456276,-97.6585
68,8515 BRODIE LN,787450000,251,304904.38247,2005,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T47,,,Q00,A01,Q04,,,B05,ALL,ACC,CA5,"8515 BRODIE LN, Austin, TX, 787450000","8515 BRODIE LN, Austin, TX, 787450000",30.19794,-97.84051
69,4600 MONTEREY OAKS BLVD,787490000,248,295200.141935,2001,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"4600 MONTEREY OAKS BLVD, Austin, TX, 787490000","4600 MONTEREY OAKS BLVD, Austin, TX, 787490000",30.22846,-97.8333
70,12349 METRIC BLVD,787580000,245,285522.44898,1995,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"12349 METRIC BLVD, Austin, TX, 787580000","12349 METRIC BLVD, Austin, TX, 787580000",30.409565,-97.69648
71,2300 NUECES ST,787050000,245,314884.365714,2007,Austin,TX,G21,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2300 NUECES ST, Austin, TX, 787050000","2300 NUECES ST, Austin, TX, 787050000",30.286715,-97.743774
72,3101 SHORELINE DR,787280000,245,,,Austin,TX,G17,N14,L50,P02,CEJ,J02,S14,,,E02,,A01,,,L02,B10,ALL,ACC,,"3101 SHORELINE DR, Austin, TX, 787280000","3101 SHORELINE DR, Austin, TX, 787280000",30.453314,-97.68152
73,11915 STONEHOLLOW DR,787580000,244,,,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"11915 STONEHOLLOW DR, Austin, TX, 787580000","11915 STONEHOLLOW DR, Austin, TX, 787580000",30.401485,-97.70576
74,1225 TOWN CENTER DR,786600000,243,,,Austin,TX,G17,N14,L50,P01,C04,J02,S13,,,E02,,,,,,B10,ALL,AC2,,"1225 TOWN CENTER DR, Austin, TX, 786600000","1225 TOWN CENTER DR, Austin, TX, 786600000",30.468048,-97.60531
75,1500 LAMAR BLVD,787040000,243,287532.761317,2012,Austin,TX,G21,N14,L49,P03,C10,J03,S01,T46,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"1500 LAMAR BLVD, Austin, TX, 787040000","1500 LAMAR BLVD, Austin, TX, 787040000",30.25433,-97.76254
76,801 5TH ST,787030000,243,545775.555556,2008,Austin,TX,G21,N14,L49,P03,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"801 5TH ST, Austin, TX, 787030000","801 5TH ST, Austin, TX, 787030000",30.269327,-97.75106
77,6636 WILLIAM CANNON DR,787350000,242,245211.194215,1996,Austin,TX,G21,N24,L47,P03,C10,J03,S01,T45,,,Q06,A01,Q10,R10,,B05,ALL,ACC,CA8,"6636 WILLIAM CANNON DR, Austin, TX, 787350000","6636 WILLIAM CANNON DR, Austin, TX, 787350000",30.242567,-97.86186
78,2200 PLEASANT VALLEY RD,787410000,241,200051.314523,1973,Austin,TX,G21,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"2200 PLEASANT VALLEY RD, Austin, TX, 787410000","2200 PLEASANT VALLEY RD, Austin, TX, 787410000",30.232002,-97.72499
79,5400 LAMAR BLVD,787510000,241,,,Austin,TX,G10,N14,L49,P02,C10,J05,S01,T44,,,,A01,,,,B05,ALL,ACC,CA7,"5400 LAMAR BLVD, Austin, TX, 787510000","5400 LAMAR BLVD, Austin, TX, 787510000",30.321556,-97.72911
80,12345 LAMPLIGHT VILLAGE AVE,787580000,240,254529.166667,1999,Austin,TX,G17,N14,L50,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"12345 LAMPLIGHT VILLAGE AVE, Austin, TX, 787580000","12345 LAMPLIGHT VILLAGE AVE, Austin, TX, 787580000",30.413523,-97.69684
81,9009 FM 620 RD,787260000,240,223787.25,2001,Austin,TX,G10,N14,L48,P03,C10,J02,S10,,,,,A01,,,,B10,ALL,ACC,CA6,"9009 FM 620 RD, Austin, TX, 787260000","9009 FM 620 RD, Austin, TX, 787260000",30.43125,-97.841805
82,600 BARWOOD PARK,787530000,239,104981.305439,1983,Austin,TX,G35,N14,L46,P01,C10,J01,S01,T43,,,,A01,,,,B10,ALL,ACC,CA4,"600 BARWOOD PARK, Austin, TX, 787530000","600 BARWOOD PARK, Austin, TX, 787530000",30.349077,-97.69631
83,14745 MERRILLTOWN DR,787280000,237,,,Austin,TX,G17,N14,L50,P02,CEJ,J02,S14,,,E02,,A01,,,L02,B10,ALL,ACC,,"14745 MERRILLTOWN DR, Austin, TX, 787280000","14745 MERRILLTOWN DR, Austin, TX, 787280000",30.448767,-97.69263
84,4701 STAGGERBRUSH RD,787490000,237,642023.189873,1996,Austin,TX,G21,N14,L48,P03,C10,J03,S01,T45,,,Q00,A01,Q05,,,B05,ALL,ACC,CA8,"4701 STAGGERBRUSH RD, Austin, TX, 787490000","4701 STAGGERBRUSH RD, Austin, TX, 787490000",30.233917,-97.83851
85,4646 MUELLER BLVD,787230000,236,,,Austin,TX,G25,N14,L46,P01,C10,J05,S01,T43,,,,A01,,,,B05,ALL,ACC,CA9,"4646 MUELLER BLVD, Austin, TX, 787230000","4646 MUELLER BLVD, Austin, TX, 787230000",30.298647,-97.70713
86,11900 STONEHOLLOW DR,787580000,235,192149.271489,1995,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"11900 STONEHOLLOW DR, Austin, TX, 787580000","11900 STONEHOLLOW DR, Austin, TX, 787580000",30.4013,-97.70618
87,1221 CONGRESS AVE,787040000,235,165312.0,1964,Austin,TX,G21,N14,L51,P04,C10,J04,S01,T46,,,,A01,,,,B05,ALL,ACC,CA9,"1221 CONGRESS AVE, Austin, TX, 787040000","1221 CONGRESS AVE, Austin, TX, 787040000",30.2519,-97.7488
88,2336 DOUGLAS ST,787410000,235,136305.680851,1986,Austin,TX,G21,N21,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"2336 DOUGLAS ST, Austin, TX, 787410000","2336 DOUGLAS ST, Austin, TX, 787410000",30.229513,-97.73185
89,809 LAMAR BLVD,787040000,235,519834.042553,2014,Austin,TX,G21,N14,L49,P03,C10,J03,S01,T46,,,Q00,A01,Q05,,,B05,ALL,ACC,CA5,"809 LAMAR BLVD, Austin, TX, 787040000","809 LAMAR BLVD, Austin, TX, 787040000",30.257425,-97.76033
90,12100 METRIC BLVD,787580000,233,242477.484979,1997,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"12100 METRIC BLVD, Austin, TX, 787580000","12100 METRIC BLVD, Austin, TX, 787580000",30.404577,-97.69835
91,2810 HEMPHILL PARK,787050000,233,,,Austin,TX,G25,N14,L49,P02,C10,J05,S01,T45,,,,A01,,,,B05,ALL,ACC,CA9,"2810 HEMPHILL PARK, Austin, TX, 787050000","2810 HEMPHILL PARK, Austin, TX, 787050000",30.293438,-97.74102
92,3201 DUVAL RD,787590000,233,275789.699571,1994,Austin,TX,G10,N14,L49,P02,C10,J02,S01,T43,,,,A01,,,,B10,ALL,ACC,CA7,"3201 DUVAL RD, Austin, TX, 787590000","3201 DUVAL RD, Austin, TX, 787590000",30.410263,-97.71723
93,3715 1ST ST,787040000,232,421043.103448,2013,Austin,TX,G35,N14,L51,P04,C10,J04,S01,T42,,,,A01,,,,B05,ALL,ACC,CA3,"3715 1ST ST, Austin, TX, 787040000","3715 1ST ST, Austin, TX, 787040000",30.229298,-97.76772
