STREET1,STREET2,Distance,Lat,Lon
LOTT AVE,MASON AVE,0.0320089612,30.2761245,-97.6839835
CELESTE CIR,OAK CLIFF DR,0.0415814734,,
LEDESMA RD,MENDOZA DR,0.0206486525,30.2728755,-97.6877436
FILEY CV,ROB SCOTT ST,0.0800862475,,
MASON AVE,RAINBOW RIDGE CIR,0.0488429322,30.2733374,-97.6855446
RIBBECKE AVE,WALLY AVE,0.0698511124,,
ADINA ST,HEFLIN LN,0.0281694135,30.2839348,-97.6789923
FORT BRANCH BLVD,MEANDER DR,0.0224054441,30.2789475,-97.6804653
ADINA ST,SCOTTSDALE RD,0.0672149646,,
HILLCREST LN,TANNEHILL LN,0.0776035329,,
DELANO ST,HAROLD CT,0.0105143193,30.2711334,-97.6792434
HEFLIN LN,ROB SCOTT ST,0.0926323592,,
OAK CLIFF DR,RHODES RD,0.0219661562,30.2832904,-97.6803794
FILEY CV,REDONDO DR,0.0845372258,,
DELORES AVE,FORT BRANCH BLVD,0.0847898188,,
MEANDER DR,REDONDO DR,0.0205239891,30.2809256,-97.6810724
KITTY AVE,SPRINGDALE RD,0.0149214694,30.2833073,-97.6842849
REDONDO DR,WEBBERVILLE RD,0.0461890599,,
12TH ST,EASTFIELD AVE,0.0821443335,,
MASON AVE,SANTA ANNA ST,0.0331245221,,
NICKOLS AVE,SANTA ANNA ST,0.0154932245,30.2744355,-97.6861591
GARLAND AVE,RICHARDINE AVE,0.0397968201,30.2689012,-97.6859241
BERGER ST,RICHARDINE AVE,0.0527698422,,
BANDERA RD,OAK CLIFF DR,0.0417808831,,
BUNCHE RD,SAMUEL HUSTON AVE,0.0155396001,30.2809293,-97.6764499
BUNCHE RD,HILLCREST LN,0.0362892031,30.2786207,-97.6765496
MANSELL AVE,MENDOZA DR,0.0346838802,,
LOUIS AVE,SANTA ANNA ST,0.0413079811,,
RIBBECKE AVE,SPRINGDALE RD,0.023971407,30.2808764,-97.68585
EASTFIELD AVE,SANTA ANNA ST,0.0942817274,,
BAKER ST,RHODES RD,0.0787958181,,
MANSELL AVE,NICKOLS AVE,0.0926233895,,
GLOMAR AVE,WALDORF AVE,0.0160624639,30.2812487,-97.6890532
FORT BRANCH BLVD,WEBBERVILLE RD,0.0470977344,30.2798347,-97.6808136
CELESTE CIR,RHODES RD,0.0925541543,,
LEDESMA RD,MANSELL AVE,0.0279629045,30.2733108,-97.6886808
FORT BRANCH BLVD,HUDSON ST,0.0376840029,30.2743859,-97.6807421
DOWNS DR,WEBBERVILLE RD,0.0178673369,30.281136,-97.6784672
HUDSON ST,WILCAB RD,0.0726516049,,
KITTY AVE,OVERHILL DR,0.0664091696,,
ROB SCOTT ST,WEBBERVILLE RD,0.0457593598,,
MEANDER DR,RHODES RD,0.0665465265,,
ELMIRA RD,LESLIE AVE,0.0306393987,30.2825244,-97.687254
DELORES AVE,MASON AVE,0.0185360201,30.2755263,-97.6843705
BERGER ST,SPUR ST,0.0595984662,,
ELEANOR ST,LEDESMA RD,0.056173313,,
HEFLIN LN,WEBBERVILLE RD,0.018754285,30.2825034,-97.6765748
MEANDER DR,ROB SCOTT ST,0.0454236265,,
HEFLIN LN,RHODES RD,0.0537319176,30.2844126,-97.6797887
REYES ST,SANTA ANNA ST,0.0489581128,,
BANDERA RD,BERENE AVE,0.0571744114,,
ADINA ST,ROB SCOTT ST,0.0074264898,30.2817026,-97.680392
DOWNS DR,SAMUEL HUSTON AVE,0.0536786263,28.8331979,-96.986211
BERENE AVE,KITTY AVE,0.0171718021,30.282535,-97.682859
ASTOR PL,MARCUS PL,0.0345816437,,
SPRINGDALE RD,WALLY AVE,0.0518760215,30.2817311,-97.6853163
REDONDO DR,RIBBECKE AVE,0.0950333503,,
BAKER ST,HEFLIN LN,0.0486751843,,
DELANO ST,MEANDER DR,0.054446968,33.9326044,-102.3398178
BANDERA RD,RHODES RD,0.0228997912,,
SANTA ANNA ST,STAR LIGHT TER,0.0779639882,,
BUNCHE RD,WEBBERVILLE RD,0.0374905063,,
LOUIS AVE,MASON AVE,0.0176206387,30.2747765,-97.6848588
BANDERA RD,OVERHILL DR,0.0440650204,30.2841395,-97.6837314
ELEANOR ST,LOTT AVE,0.0544172601,,
ADINA ST,BANDERA RD,0.0417013008,30.2822408,-97.6800503
DELANO ST,ELEANOR ST,0.0384433663,,
DOWNS DR,MEANDER DR,0.0648596436,,
PENNY ST,SPRINGDALE RD,0.0666437795,,
LEDESMA RD,TANNEY ST,0.0615676378,,
LOTT AVE,NICKOLS AVE,0.0199080892,30.2768132,-97.684654
ADINA ST,RHODES RD,0.0367818486,,
BERENE AVE,WALLY AVE,0.0164237967,30.2811142,-97.6839945
MASON AVE,RICHARDINE AVE,0.047563915,30.2719267,-97.6856149
CESSAL AVE,LEDESMA RD,0.0068857961,30.2712153,-97.6839405
BERGER ST,MENDOZA DR,0.0931960537,,
DELORES AVE,LOTT AVE,0.02759139,30.273364,-97.6812683
ELMIRA RD,OVERHILL DR,0.0617875511,,
PENNY ST,RIBBECKE AVE,0.021669806,30.2802383,-97.684514
DELORES AVE,EASTFIELD AVE,0.0350177429,30.2761436,-97.6856545
ELEANOR ST,FORT BRANCH BLVD,0.0177827409,30.2765067,-97.6801932
12TH ST,COMETA ST,0.0159648343,30.2785537,-97.6895993
DOWNS DR,HILLCREST LN,0.0371502215,30.2779822,-97.6771527
DELANO ST,HUDSON ST,0.0272282225,30.2731404,-97.6778954
BANDERA RD,ROB SCOTT ST,0.0890405973,,
FILEY CV,RHODES RD,0.0924249169,,
DELANO ST,DOWNS DR,0.0447145161,33.9326044,-102.3398178
OAK CLIFF DR,SPRINGDALE RD,0.0142196213,30.2848346,-97.6832929
ELMIRA RD,GLOMAR AVE,0.0883365528,,
GLOMAR AVE,LESLIE AVE,0.0421245164,,
DELORES AVE,NICKOLS AVE,0.0428697891,30.2759289,-97.6852095
GLOMAR AVE,SPRINGDALE RD,0.0241368152,30.2817311,-97.6853163
EASTFIELD AVE,MANSELL AVE,0.0139741218,30.2772441,-97.6855311
RHODES RD,SCOTTSDALE RD,0.0414917835,30.2844126,-97.6797887
LOTT AVE,WEBBERVILLE RD,0.0589048664,,
HEFLIN LN,SCOTTSDALE RD,0.0165854185,30.2844126,-97.6797887
LOTT AVE,SHUBERG ST,0.0350554588,,
MANSELL AVE,REYES ST,0.0098924447,30.2741243,-97.6875658
SANTA ANNA ST,WEBBERVILLE RD,0.0382550725,,
ELEANOR ST,HAROLD CT,0.0361432235,30.271505,-97.6800308
LEDESMA RD,REYES ST,0.0459289147,,
BANDERA RD,FILEY CV,0.0496478492,,
COMETA ST,WALDORF AVE,0.036750169,,
BANDERA RD,MEANDER DR,0.0223268583,30.2828991,-97.6813777
LOTT AVE,MANSELL AVE,0.0533756219,30.2772441,-97.6855311
REYES ST,SPRINGDALE RD,0.0589962189,30.2749255,-97.6896788
ADINA ST,BAKER ST,0.0170717133,30.2830964,-97.6795059
BERENE AVE,REDONDO DR,0.0433286732,,
ADINA ST,FILEY CV,0.0345010681,,
PENNY ST,WALLY AVE,0.0188890723,30.281282,-97.6843536
ADINA ST,MEANDER DR,0.041528551,,
ASTOR PL,LESLIE AVE,0.0394932587,30.282365,-97.6883474
JACKIE ROBINSON ST,TANNEHILL LN,0.0447528625,30.2762198,-97.6760117
AXEL LN,TANNEHILL LN,0.093400573,,
ELMIRA RD,FAIRPLAY CT,0.0397151957,,
EBERT AVE,RICHARDINE AVE,0.040212779,,
MENDOZA DR,SANTA ANNA ST,0.0802650669,,
HILLCREST LN,SAMUEL HUSTON AVE,0.0259727512,30.2803787,-97.6756736
MANSELL AVE,SANTA ANNA ST,0.022682946,30.274855,-97.6870325
EASTFIELD AVE,LOTT AVE,0.0162322467,30.2772441,-97.6855311
LOUIS AVE,STAR LIGHT TER,0.0864793693,,
HUDSON ST,LOTT AVE,0.080977839,,
NICKOLS AVE,STAR LIGHT TER,0.0923028976,,
MASON AVE,MENDOZA DR,0.0186096862,30.2727625,-97.6855815
DELORES AVE,SHUBERG ST,0.0344416985,30.2734167,-97.6820743
BERENE AVE,FILEY CV,0.09281936,,
MARK ST,TANNEY ST,0.0389519267,30.2721452,-97.6886205
CHRISTIE DR,TERRY DR,0.0505393764,,
LOTUS LN,STILES CV,0.0353718131,30.2607048,-97.6782385
LESLIE AVE,WALDORF AVE,0.0481520648,,
MARK ST,SARA DR,0.0412163229,30.2707079,-97.6897132
FOUNTAIN GRASS LN,SERENADE ST,0.0357309524,,
SAMUEL HUSTON AVE,TECHNI CENTER DR,0.0366405158,30.2793859,-97.673948
17TH ST,AIRPORT BLVD,0.0771454122,30.2498415,-97.691797
LEDESMA RD,SPRINGDALE RD,0.0107387689,30.2740168,-97.6901542
MANOR RD,MC CURDY ST,0.0900647346,,
ASTOR PL,MARCUS PL,0.0345816437,,
DARBY ST,HUDSON ST,0.0532622431,30.2694115,-97.6708286
THURGOOD AVE,THURGOOD CIR,0.0271678551,30.2622064,-97.6760725
ED BLUESTEIN BLVD,HIBBETTS RD,0.0666350883,,
LOVINGOOD DR,MC KINLEY AVE,0.0653888922,,
18TH ST,LORETO DR,0.0639799593,,
MARTIN LUTHER KING JR BLVD,VICTORIA DR,0.0465674426,30.284725,-97.6898363
AIRPORT BLVD,KAY ST,0.03661293,,
GREENWOOD AVE,PERSHING DR,0.03465606,30.2866341,-97.6996609
CAMBRIDGE CT,GRANDE CT,0.0404917091,30.4687003,-97.6427836
BROADHILL DR,NORTHDALE DR,0.0870497362,,
FORT BRANCH BLVD,LOTT AVE,0.0403910211,,
BROADHILL DR,OLDFORT HILL DR,0.0330337025,,
LOVELL DR,MARLO DR,0.0678388571,,
BANDERA RD,KITTY AVE,0.0563929456,,
J J SEABROOK DR,PEREZ ST,0.0201549653,30.2822093,-97.6926124
BUNCHE RD,DOWNS DR,0.0256511818,,
CHICO ST,GARLAND AVE,0.0172410471,30.2695735,-97.6850063
REDONDO DR,WALLY AVE,0.0767279713,,
BERENE AVE,MEANDER DR,0.0466539118,,
GARDNER CV,LOTUS LN,0.0446675363,30.2617768,-97.6793189
PECAN SPRINGS RD,RIMROCK TRL,0.0339970637,30.2914482,-97.6828777
COMETA ST,GLOMAR AVE,0.0957547706,,
MC CURDY ST,TOM MILLER ST,0.0352019326,,
GOLDEN CANARY LN,STAR DANCE PATH,0.0905250859,,
E M FRANKLIN AVE,GREENWOOD AVE,0.0419804273,,
LORETO DR,TILLERY ST,0.0535941019,,
EASTDALE DR,NORTHDALE DR,0.0202022707,30.2885555,-97.6692169
GUNTER ST,PICKLE DR,0.035048606,30.266988,-97.6979339
BAKER ST,ROB SCOTT ST,0.0292405788,,
BERGER ST,MENDOZA DR,0.0931960537,,
NORTHDALE DR,TOWER TRL,0.0500709869,,
PERRY RD,STEVEN CREEK WAY,0.04167681,30.2598288,-97.6845462
ARTHUR STILES RD,STILES CV,0.0235617935,30.2614333,-97.6776884
HEFLIN LN,ROB SCOTT ST,0.0926323592,,
BREEDLOVE CT,RIDGE DR,0.029349417,,
LEDESMA RD,STAR LIGHT TER,0.0811978657,,
E M FRANKLIN AVE,PERSHING DR,0.073922828,30.2884962,-97.6982
12TH ST,EASTFIELD AVE,0.0821443335,,
ELMIRA RD,MARTIN LUTHER KING JR BLVD,0.0145755756,30.2853892,-97.6855174
MANOR RD,PERSHING DR,0.0824495277,,
BERGER ST,RICHARDINE AVE,0.0527698422,,
ALF AVE,SAUCEDO ST,0.0203894331,30.2669205,-97.6896514
BUNDYHILL DR,CARSONHILL DR,0.0336641661,30.288128,-97.6774526
16TH ST,COMETA ST,0.0361486247,30.2814483,-97.6902045
CARMEL DR,MARTIN LUTHER KING JR BLVD,0.0469123536,,
ADRIANE DR,CHASE CIR,0.0400511234,30.2830876,-97.691156
SERENADE ST,STAR DANCE PATH,0.088378708,,
CARMEL DR,CHASE CIR,0.0289403002,,
GUNTER ST,THOMPSON ST,0.0485472683,30.2661926,-97.6982988
STAR DANCE PATH,STAR JASMINE DR,0.0543588801,,
18TH ST,TILLERY ST,0.0198226845,30.2813822,-97.7014196
HILLDALE DR,NORTHDALE DR,0.041299743,30.2889921,-97.6701609
BUNDYHILL CIR,CARSONHILL DR,0.0331667234,30.288128,-97.6774526
ASTOR PL,MONTICELLO CIR,0.0472343005,,
E M FRANKLIN AVE,MARTIN LUTHER KING JR BLVD,0.0388516654,30.2837443,-97.6961358
ASTOR PL,TEMPLE DR,0.0445954874,,
BENTSEN LN,HILLDALE DR,0.0933231845,,
STILES CV,THURGOOD AVE,0.0269114214,30.2623942,-97.6770303
51ST ST,SINGLE SHOT CIR,0.0996217855,,
12TH ST,GRANT ST,0.0509451496,,
LEMON TREE PATH,SERENADE ST,0.097276626,,
COMMERCE ST,PEREZ ST,0.0964812971,,
CONNALLY LN,YORK HILL DR,0.0946205733,,
DESIRABLE DR,STUART CIR,0.0637344431,,
MUNSON ST,SPRINGDALE RD,0.0293780551,30.2697051,-97.6928684
DEWEY ST,EBERT AVE,0.078183256,,
DENFIELD ST,MAP ST,0.0369150154,,
STONE GATE CIR,WOODMOOR DR,0.0336537936,,
WOODMOOR CIR,WOODMOOR DR,0.0251346813,30.2837983,-97.6743481
GOODWIN AVE,SPRINGDALE RD,0.038584771,30.2674231,-97.6943545
ADRIANE DR,CARMEL DR,0.0435883227,30.2838501,-97.6913185
STAR DANCE PATH,SWEET ANNIE PATH,0.0219440059,,
17TH ST,18TH ST,0.0389595839,30.198596,-97.8732869
GARDNER RD,LOTUS LN,0.0310936221,30.2617768,-97.6793189
WEBBERVILLE RD,WOODMOOR CIR,0.0489242384,30.2831514,-97.6742168
SINGLE SHOT CIR,SPRINGDALE RD,0.0903177003,,
BANDERA RD,ROB SCOTT ST,0.0890405973,,
PROCK LN,SARA DR,0.0270678151,30.267464,-97.6869907
MAP ST,TANNEY ST,0.0193480523,30.2728939,-97.6901617
BUNCHE RD,WEBBERVILLE RD,0.0374905063,,
16TH ST,J J SEABROOK DR,0.0395501135,,
ESTES AVE,GARLAND AVE,0.0582268426,,
CONNALLY LN,HUTCHINSON DR,0.0741869631,,
PENNY ST,SPRINGDALE RD,0.0666437795,,
ASTOR PL,WALDORF AVE,0.0284843497,,
14TH HALF ST,16TH ST,0.0321707243,,
GOODWIN AVE,KAY ST,0.0421729591,,
PROCK LN,SPUR ST,0.0551646291,,
AIRPORT BLVD,GUNTER ST,0.0192537303,30.269581,-97.6967158
FILEY CV,RHODES RD,0.0924249169,,
BENGSTON ST,TILLERY ST,0.0683385545,30.2710195,-97.6998657
CHASE CIR,PEREZ ST,0.049840149,,
16TH ST,GLOMAR AVE,0.0921566679,,
MARLO DR,SHADY PARK DR,0.0981787083,,
AIRPORT BLVD,LORETO DR,0.0596569369,,
51ST ST,CRYSTAL STREAM PASS,0.0891764473,,
12TH ST,BREEDLOVE CT,0.036290814,,
ASTOR PL,KITTY AVE,0.0999271357,,
MAP ST,SPRINGDALE RD,0.0400954931,30.2523854,-97.7037806
14TH HALF ST,TILLERY ST,0.0316460572,,
EBERT AVE,PROCK LN,0.0417558524,,
LOTT AVE,WEBBERVILLE RD,0.0589048664,,
HEFLIN LN,HILLSPRING CIR,0.0386905531,,
COMMERCE ST,E M FRANKLIN AVE,0.0702495003,31.5208983,-97.172332
PROCK LN,SAUCEDO ST,0.0682799298,,
LEDESMA RD,OMEGA AVE,0.0381998301,30.2697572,-97.6812304
CRYSTAL STREAM PASS,SPRINGDALE RD,0.0611183202,,
LEDESMA RD,OAK SPRINGS DR,0.0779958548,,
51ST ST,SERENADE ST,0.0100070818,,
KAY ST,TILLERY ST,0.0873058196,30.2703031,-97.7001972
SERENADE ST,SINGLE SHOT CIR,0.0952831768,,
GOLDEN CANARY LN,SWEET ANNIE PATH,0.0235808505,,
CHICO ST,OMEGA AVE,0.0986556698,,
AXEL LN,TANNEHILL LN,0.093400573,,
MENDOZA DR,SANTA ANNA ST,0.0802650669,,
HEFLIN LN,STONE GATE DR,0.066624243,,
LOUIS AVE,STAR LIGHT TER,0.0864793693,,
CHICO ST,RICHARDINE AVE,0.0741451158,,
BROADHILL DR,MARTIN LUTHER KING JR BLVD,0.0401216798,30.28645,-97.6763916
BERENE AVE,FILEY CV,0.09281936,,
SARA DR,SPRINGDALE RD,0.0418138616,30.2720476,-97.6913712
CEDAR POINT DR,MARLO DR,0.0421902826,,
ELEANOR ST,OMEGA AVE,0.0871998878,,
DELORES AVE,SPRINGDALE RD,0.0713983644,,
STONE GATE DR,WOODMOOR DR,0.0378564288,,
BUNDYHILL DR,MARTIN LUTHER KING JR BLVD,0.0202471913,30.2863627,-97.6773048
HEFLIN LN,OAK CLIFF DR,0.0917673689,,
JAIN LN,SHADY LN,0.057052892,,
CHRISTIE DR,OMEGA AVE,0.0341029516,,
BERENE AVE,REDONDO DR,0.0433286732,,
LEDESMA RD,SPUR ST,0.0886151667,,
OMEGA AVE,TURA LN,0.0765972286,,
DENVER AVE,GREENWOOD AVE,0.0653107947,,
PROCK LN,SPRINGDALE RD,0.010033805,30.2706959,-97.6922597
PALO PINTO DR,PERSHING DR,0.0178598876,30.2858301,-97.7000289
MARCUS PL,SPRINGDALE RD,0.0406209013,,
HUTCHINSON DR,NORTHDALE DR,0.0603278003,,
BUNDY CREST CIR,SINGLE SHOT CIR,0.0821891058,,
MARTIN LUTHER KING JR BLVD,WILDROSE DR,0.0747379935,30.2848638,-97.6889454
DELORES AVE,STAR LIGHT TER,0.0386018116,,
ASTOR PL,VICTORIA DR,0.0380278518,,
LESLIE AVE,WALLY AVE,0.0442405931,,
RAINBOW RIDGE CIR,STAR LIGHT TER,0.0298858188,,
DOWNS DR,ROB SCOTT ST,0.0996013517,,
LEDESMA RD,TERRY DR,0.0025049442,30.2689049,-97.6796512
BENTSEN LN,CONNALLY LN,0.0425755474,,
MARKS CIR,MUNSON ST,0.0415706888,30.2685955,-97.6910134
SPRINGDALE RD,TANNEY ST,0.0357831245,30.2731377,-97.6906619
MARTIN LUTHER KING JR BLVD,OLDFORT HILL DR,0.026081784,30.28656,-97.6752189
DESIRABLE DR,MAHAN DR,0.0190211585,30.2633612,-97.6859198
BROOKSWOOD AVE,PROCK LN,0.0968400702,,
17TH ST,GREENWOOD AVE,0.0157140617,30.2812092,-97.6968597
HIBBETTS RD,REGIENE RD,0.0354198592,30.265971,-97.6704418
HOWDEN CIR,WALDEN CIR,0.0864118665,,
51ST ST,STAR JASMINE DR,0.0278744132,,
BLUEBERRY TRL,CREEKWOOD RD,0.0356375812,30.295812,-97.6875144
HENNINGER ST,PICKLE DR,0.0345572197,30.2674336,-97.6991794
BROOKSWOOD AVE,SARA DR,0.0568753281,,
PALO PINTO DR,TILLERY ST,0.0751256093,,
STONE GATE CIR,STONE GATE DR,0.0182851357,30.2835199,-97.675932
BERENE AVE,RIBBECKE AVE,0.0929814319,,
MAHAN DR,STUART CT,0.0849247025,,
DON ANN ST,MUNSON ST,0.0370035704,30.268203,-97.6902045
GLOMAR AVE,LESLIE AVE,0.0421245164,,
EASTFIELD AVE,MASON AVE,0.0990338285,,
CAMBRIDGE CT,MARTIN LUTHER KING JR BLVD,0.0490744884,,
BERGER ST,BROOKSWOOD AVE,0.0765783872,,
CHICO ST,LOTT AVE,0.0326605744,30.2687037,-97.6830667
BERGER ST,TANNEY ST,0.0781264584,,
GUNTER ST,OAK SPRINGS DR,0.0333928773,30.2738012,-97.6947701
ASTOR PL,ELMIRA RD,0.0406203409,,
16TH ST,DELONEY ST,0.0204591307,30.2810723,-97.6934791
COMETA ST,LUNA ST,0.0568500584,,
BENTSEN LN,YORK HILL DR,0.0952005968,,
BERGER ST,SARA DR,0.0147458272,30.2687568,-97.6882438
51ST ST,MEDFORD DR,0.0605779393,,
NORTHDALE DR,OLDFORT HILL DR,0.026980622,30.2904343,-97.6728661
MARTIN LUTHER KING JR BLVD,TILLERY ST,0.023509802,30.2828748,-97.7017294
16TH ST,17TH ST,0.0285706716,30.1987853,-97.8736952
HALMARK DR,MEDFORD DR,0.0416300815,30.2953632,-97.6798333
ADRIANE DR,LUNA ST,0.0731140319,,
ARTHUR STILES RD,LOTUS LN,0.0187456652,30.2607048,-97.6782385
GOODWIN AVE,GUNTER ST,0.0506680156,30.2684352,-97.6972626
17TH ST,LORETO DR,0.0197868627,30.2803768,-97.700631
ED BLUESTEIN BLVD,TECHNI CENTER DR,0.0117391165,30.2760329,-97.6680513
CAMBRIDGE CT,PERSHING DR,0.0171209644,30.284206,-97.700356
HILLCREST LN,TANNEHILL LN,0.0776035329,,
CARSONHILL DR,WALWORTH ST,0.0946308732,,
CARMEL DR,PEREZ ST,0.0344877797,,
BENGSTON ST,KAY ST,0.0336197343,30.2693245,-97.6974141
MASON AVE,SANTA ANNA ST,0.0331245221,,
12TH ST,MC KINLEY AVE,0.0107318114,30.2765691,-97.7023314
GARDNER CV,THURGOOD AVE,0.0853927438,,
BANDERA RD,OAK CLIFF DR,0.0417808831,,
LUNA ST,PEREZ ST,0.0488306482,,
LOUIS AVE,SANTA ANNA ST,0.0413079811,,
ABBATE CIR,OAK SPRINGS DR,0.0709440216,,
BASSWOOD LN,SPRINGDALE RD,0.0816370236,,
BASSWOOD LN,GOLDEN CANARY LN,0.0648743016,,
ALF AVE,BROOKSWOOD AVE,0.0087922455,30.2663997,-97.6885953
GARDNER RD,JAIN LN,0.0159332387,30.2598383,-97.6817431
CELESTE CIR,RHODES RD,0.0925541543,,
STONE GATE CIR,WEBBERVILLE RD,0.0366211383,30.2827567,-97.6756646
CRYSTAL STREAM PASS,SWEET ANNIE PATH,0.0845607388,,
J J SEABROOK DR,LESLIE AVE,0.0828243264,,
ADRIANE DR,MARTIN LUTHER KING JR BLVD,0.0203865027,30.2844672,-97.6914574
MARLO DR,PECAN SPRINGS RD,0.0403353027,30.2916875,-97.6833217
51ST ST,PECAN SPRINGS RD,0.0186389588,30.2951898,-97.6811353
BROADHILL DR,CARSONHILL DR,0.0267635914,,
CELESTE CIR,OAK CLIFF DR,0.0415814734,,
HUTCHINSON DR,KRUEGER LN,0.0321671908,,
16TH ST,LORETO DR,0.0627036205,,
12TH ST,DELONEY ST,0.0193782937,30.2780636,-97.6927552
PENNSYLVANIA AVE,RIDGE DR,0.0304689204,29.5342143,-95.1179957
FOUNTAIN GRASS LN,MULBERRY GROVE LN,0.0552142064,,
STAR JASMINE DR,SWEET ANNIE PATH,0.071806591,,
REYES ST,SANTA ANNA ST,0.0489581128,,
